Cartel Vertical,Anonymized Client ID,Anonymized Sub Org ID,Org Created,Anonymized User ID,Anonymized Event ID,Event Created,Has Location,Last Chat Response Date,Admin First Response Date,First Chat Response Date,Eventcategory (group),Number of Records,adminchats,Adminflag,Anonymous,averagelen,chatcount,Event Text,Eventcategory,eventid (Custom SQL Query),Testflag,userchats,chat_count,,,,
HigherEd,68-79-118-109-105-85-100-114-108-109-32-,68-79-118-109-105-85-100-114-108-109-32-,8/11/2014 13:09,592569,781378,1/2/2018 20:34,TRUE,1/2/2018 20:36,,1/2/2018 20:34,Suspicious Activity,1,0,0,1,36.81818182,11,Gun shots (multiple sounds) on [DATE] and killam,Suspicious Activity,781478,0,0,11,,,,
HigherEd,00-86-00-00-00-00-85-00-67-00-32-,00-86-00-00-00-00-85-00-67-00-00-,8/15/2013 1:06,1876335,781519,1/2/2018 22:39,TRUE,1/2/2018 23:20,,1/2/2018 22:40,Emergency Message,1,0,0,0,43.65625,32,I don't know if you can help because neither of us go to[ORG]. I have a friend in [GPE] near [ORG]. His name is [PERSON]. He lives in [ORG] on [ORG] and I'm scared he's going to kill or hurt himself. I'm trying to talk him down but I don't think I'm helping and I didn't know what to do.,Emergency Message,781619,0,0,32,,,,
HigherEd,101-80-00-100-105-00-112-00-101-100-112-,101-80-114-100-105-105-112-105-101-100-112-,12/8/2014 23:59,1876405,781636,1/3/2018 0:25,TRUE,1/3/2018 0:32,,1/3/2018 0:26,Emergency Message,1,0,0,0,32.4,5,My card isn't working. I live in [LOC] room [ACRONYM],Emergency Message,781736,0,0,5,,,,
HigherEd,101-87-00-110-85-00-115-00-101-110-116-,101-87-00-110-85-00-115-00-101-110-116-,5/5/2016 22:06,228158,782289,1/3/2018 10:16,TRUE,1/3/2018 10:19,,1/3/2018 10:16,Mental Health,1,0,1,0,77.14285714,7,Test,Mental Health,782389,1,0,7,,,,
HigherEd,97-83-108-77-111-67-110-103-97-77-116-,97-83-108-77-111-67-110-103-97-77-116-,3/31/2016 19:50,709114,782641,1/3/2018 14:54,TRUE,1/3/2018 15:00,,1/3/2018 14:57,Harassment / Abuse,1,0,0,1,51.25,4,Homeless man walking shirtless near [ORG],Harassment / Abuse,782741,0,0,4,,,,
HigherEd,115-74-68-72-111-32-104-32-111-72-110-,115-74-68-72-111-32-104-00-111-72-110-,7/20/2015 14:43,600804,785248,1/4/2018 21:13,TRUE,1/4/2018 21:23,,1/4/2018 21:16,Theft / Lost Item,1,0,0,1,25.33333333,6,I'm a student and I can't find my grey jacket it's cold outside please help!,Theft / Lost Item,785348,0,0,6,,,,
HigherEd,101-85-117-115-105-32-105-104-110-115-118-,101-85-117-115-105-32-105-104-110-115-118-,9/9/2014 21:20,1878663,785339,1/4/2018 22:35,TRUE,1/4/2018 22:41,,1/4/2018 22:35,Theft / Lost Item,1,0,0,0,36.05882353,17,bike stoked trojan hall,Theft / Lost Item,785439,0,0,17,,,,
HigherEd,32-65-00-00-00-00-65-00-66-00-67-,00-65-00-00-00-00-65-00-66-00-67-,5/25/2016 14:40,1880697,785462,1/5/2018 0:19,TRUE,1/5/2018 0:20,,1/5/2018 0:19,Emergency Message,1,0,0,0,18,4,Is [ACRONYM] Police available to jump a car at the moment?,Emergency Message,785562,0,0,4,,,,
HigherEd,115-74-68-72-111-32-104-32-111-72-110-,115-74-68-72-111-32-104-00-111-72-110-,7/20/2015 14:43,567808,787720,1/6/2018 6:03,TRUE,1/8/2018 10:03,,1/6/2018 6:05,Theft / Lost Item,1,0,0,0,71.25,4,i lost my wallet [DATE] was it returned to lost and found? my name is [PERSON]..black wallet.,Theft / Lost Item,787820,0,0,4,,,,
HigherEd,67-85-00-97-114-32-67-00-78-97-32-,67-85-00-97-114-00-67-00-78-97-32-,11/1/2013 18:18,233106,789235,1/7/2018 0:59,TRUE,1/7/2018 1:04,,1/7/2018 1:02,Drugs/Alcohol,1,0,0,1,30.4,5,[GPE] odor #th far wing of Miltimore,Drugs/Alcohol,789335,0,0,5,,,,
HigherEd,32-76-00-111-108-00-110-00-97-111-101-,32-76-00-111-108-00-110-00-97-111-101-,6/6/2016 14:48,834359,789735,1/7/2018 8:42,TRUE,1/7/2018 9:01,,1/7/2018 8:44,Emergency Message,1,0,0,1,28.6875,16,what should I do is I'm being stalked not physically but through a social media,Emergency Message,789835,0,0,16,,,,
